epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47268,2.20875,6.28277,1.49915,0.00067,0.2,0.00044,0.00022,1.95965,6.31408,1.21999,0,0,0
2,6.56285,2.36293,7.50849,1.64576,0.00067,0.2,0.00045,0.00029,1.82962,6.37306,1.16728,1.802e-05,1.802e-05,1.802e-05
3,9.70202,2.24574,7.15198,1.64022,0.00067,0.2,0.00046,0.00023,1.87604,6.17284,1.24079,3.208e-05,3.208e-05,3.208e-05
4,12.9162,2.14088,6.9787,1.65587,0.00067,0.2,0.00041,0.00015,1.90851,6.05617,1.28153,4.218e-05,4.218e-05,4.218e-05
5,15.9389,2.11498,6.53338,1.41247,0.00133,0.4,0.001,0.00035,2.02084,6.01499,1.26542,4.832e-05,4.832e-05,4.832e-05
6,19.0535,1.7734,5.85397,1.34168,0.00167,0.5,0.00143,0.00044,2.02711,6.08263,1.17367,5.05e-05,5.05e-05,5.05e-05
7,22.1928,1.83548,5.70248,1.24691,0.00167,0.5,0.00155,0.00041,2.07269,6.25717,1.17028,4.872e-05,4.872e-05,4.872e-05
8,25.22,1.62755,5.8515,1.2029,0.002,0.6,0.00217,0.00065,2.057,6.19645,1.16896,4.298e-05,4.298e-05,4.298e-05
9,28.3183,1.26708,5.47186,1.15448,0.002,0.6,0.0023,0.00073,2.02074,6.19126,1.15426,3.328e-05,3.328e-05,3.328e-05
10,31.4102,1.57428,4.81076,1.22144,0.002,0.6,0.00223,0.00064,2.0042,6.23491,1.15809,1.962e-05,1.962e-05,1.962e-05
