epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.08026,2.48003,6.21091,1.91099,0.00033,0.1,0.00019,7e-05,2.40336,7.52221,1.52064,0,0,0
2,6.84243,1.78821,5.73924,1.60342,0.00033,0.1,0.00019,7e-05,2.34201,7.21848,1.52213,1.802e-05,1.802e-05,1.802e-05
3,9.67471,2.40243,6.23054,1.7159,0.00033,0.1,0.00019,9e-05,2.25195,7.1374,1.49974,3.208e-05,3.208e-05,3.208e-05
4,12.3596,2.06806,5.71586,1.70444,0.00033,0.1,0.00019,9e-05,2.23488,7.08453,1.49253,4.218e-05,4.218e-05,4.218e-05
5,15.0675,1.88079,5.15134,1.5994,0.00033,0.1,0.00019,9e-05,2.17557,7.02431,1.47648,4.832e-05,4.832e-05,4.832e-05
6,17.9535,1.39257,4.8006,1.2067,0.00067,0.2,0.00041,0.00024,2.12168,7.21273,1.42955,5.05e-05,5.05e-05,5.05e-05
7,20.6908,1.59188,5.07304,1.31431,0.00067,0.2,0.00041,0.00024,2.00713,7.26544,1.39292,4.872e-05,4.872e-05,4.872e-05
8,23.3638,1.24702,4.645,1.19533,0.001,0.3,0.00068,0.00027,1.91903,7.2387,1.37381,4.298e-05,4.298e-05,4.298e-05
9,26.0838,1.38522,4.36068,1.18305,0.00067,0.2,0.00041,0.00025,1.87398,7.21028,1.35828,3.328e-05,3.328e-05,3.328e-05
10,28.8121,1.26324,4.29721,1.18659,0.00067,0.2,0.00042,0.00025,1.89744,7.18008,1.3532,1.962e-05,1.962e-05,1.962e-05
