epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.93514,2.50873,7.23009,1.78372,0.00067,0.2,0.00042,0.00014,2.81629,6.74291,1.52339,0,0,0
2,8.38723,2.76338,8.04704,1.58926,0.00067,0.2,0.00043,0.00014,2.7797,6.7028,1.51764,1.802e-05,1.802e-05,1.802e-05
3,11.5935,2.10413,7.2679,1.28596,0.00067,0.2,0.00117,0.00021,2.70863,6.60476,1.50473,3.208e-05,3.208e-05,3.208e-05
4,14.8448,2.00655,8.2098,1.48478,0.001,0.3,0.00134,0.00021,2.61955,6.48401,1.4871,4.218e-05,4.218e-05,4.218e-05
5,18.4857,2.40127,6.45427,1.47004,0.001,0.3,0.00122,0.00022,2.58737,6.33462,1.4631,4.832e-05,4.832e-05,4.832e-05
6,21.6628,1.91408,6.51882,1.24865,0.00167,0.5,0.00143,0.00029,2.58022,6.42313,1.44379,5.05e-05,5.05e-05,5.05e-05
7,24.9111,2.55667,8.44232,1.566,0.002,0.6,0.00193,0.00039,2.55337,6.42491,1.43006,4.872e-05,4.872e-05,4.872e-05
8,28.7043,1.67786,5.97472,1.12994,0.002,0.6,0.00223,0.00047,2.52603,6.37234,1.41806,4.298e-05,4.298e-05,4.298e-05
9,31.9842,1.74464,7.31772,1.09015,0.002,0.6,0.00237,0.00059,2.48366,6.38523,1.39486,3.328e-05,3.328e-05,3.328e-05
10,35.3666,1.64654,6.01397,1.18378,0.002,0.6,0.00245,0.00058,2.45161,6.53498,1.38522,1.962e-05,1.962e-05,1.962e-05
