epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,556.967,0.96004,1.55285,0.98579,0.98385,0.92,0.9369,0.70453,0.89569,1.71025,0.90729,0.0009704,0.0009704,0.0009704
28,576.961,0.97095,1.67785,0.9212,0.94403,0.89969,0.91428,0.67744,0.90395,1.6927,0.88644,0.0009308,0.0009308,0.0009308
29,596.98,1.0362,1.62472,0.98833,0.9439,0.89738,0.91645,0.68661,0.89956,1.6476,0.90377,0.0008912,0.0008912,0.0008912
30,617.043,0.95422,1.64927,0.92084,1,0.90507,0.91977,0.69057,0.89439,1.58808,0.90638,0.0008516,0.0008516,0.0008516
31,637.255,0.92098,1.49498,0.91932,1,0.91786,0.94491,0.67078,0.89173,1.51627,0.88972,0.000812,0.000812,0.000812
32,657.38,1.01049,1.4848,0.99682,0.98396,0.93333,0.98343,0.69888,0.88983,1.47449,0.87566,0.0007724,0.0007724,0.0007724
33,677.348,0.98439,1.54952,0.94075,0.9836,0.93333,0.98278,0.71934,0.8807,1.49124,0.87868,0.0007328,0.0007328,0.0007328
34,697.345,1.02234,1.72663,0.97555,1,0.93148,0.97915,0.73128,0.86878,1.45605,0.87934,0.0006932,0.0006932,0.0006932
35,717.479,0.99613,1.44147,0.94612,0.99486,0.93333,0.97126,0.73597,0.8549,1.42381,0.87145,0.0006536,0.0006536,0.0006536
36,737.891,0.99083,1.41149,0.981,1,0.93088,0.96257,0.76737,0.77435,1.34794,0.84927,0.000614,0.000614,0.000614
37,757.972,0.88749,1.29928,0.92817,1,0.93159,0.96548,0.74682,0.77861,1.35594,0.84636,0.0005744,0.0005744,0.0005744
38,778.074,0.93218,1.44698,0.97235,1,0.93307,0.97331,0.73177,0.80372,1.35598,0.85292,0.0005348,0.0005348,0.0005348
39,798.186,0.93362,1.44024,0.89851,0.9872,0.93333,0.98109,0.7449,0.77933,1.34168,0.85074,0.0004952,0.0004952,0.0004952
40,818.328,0.81217,1.20373,0.95602,0.97312,0.96529,0.98292,0.77097,0.74886,1.28478,0.85091,0.0004556,0.0004556,0.0004556
41,838.255,0.82752,1.28367,0.89223,0.99788,0.96,0.98341,0.76273,0.76673,1.25933,0.84428,0.000416,0.000416,0.000416
42,858.152,0.82224,1.37171,0.86095,0.99679,0.96,0.98375,0.75706,0.7749,1.24197,0.8421,0.0003764,0.0003764,0.0003764
43,878.163,0.77051,1.31292,0.83163,0.99748,0.96,0.98414,0.75719,0.77075,1.23753,0.83705,0.0003368,0.0003368,0.0003368
44,898.184,0.74612,1.28327,0.86208,0.99782,0.97333,0.98465,0.77476,0.74849,1.20504,0.83698,0.0002972,0.0002972,0.0002972
45,918.376,0.79066,1.29101,0.89301,1,0.97288,0.98478,0.77691,0.73372,1.18336,0.8368,0.0002576,0.0002576,0.0002576
46,938.465,0.7456,1.30542,0.87579,1,0.97029,0.98453,0.78152,0.72206,1.16784,0.83487,0.000218,0.000218,0.000218
47,958.47,0.72397,1.26371,0.86691,1,0.966,0.98407,0.7919,0.70454,1.15075,0.83125,0.0001784,0.0001784,0.0001784
48,978.666,0.7004,1.1871,0.84371,0.98644,0.96991,0.98366,0.80328,0.67961,1.12764,0.82711,0.0001388,0.0001388,0.0001388
49,998.912,0.67321,1.16851,0.84816,0.98639,0.96614,0.98344,0.80427,0.67425,1.12545,0.82523,9.92e-05,9.92e-05,9.92e-05
50,1018.97,0.64546,1.22128,0.85068,0.9863,0.95992,0.98304,0.80474,0.67078,1.12554,0.82446,5.96e-05,5.96e-05,5.96e-05
