epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1099,2.45285,7.47836,1.617,0.00147,0.44,0.00148,0.00058,1.9271,6.20588,1.26549,8e-05,8e-05,8e-05
2,42.2077,1.76814,5.95052,1.26445,0.00267,0.8,0.02402,0.01163,1.61175,5.62629,1.07542,0.000176436,0.000176436,0.000176436
3,62.8549,1.5265,5.0897,1.04715,0.00289,0.86667,0.11146,0.05388,1.32734,5.06978,0.97622,0.000268912,0.000268912,0.000268912
4,83.6254,1.40932,4.03854,1.00592,0.00284,0.85333,0.06606,0.03344,1.16695,4.83162,0.91376,0.000357428,0.000357428,0.000357428
5,104.492,1.27099,4.14699,1.02618,0.00284,0.85333,0.06384,0.02557,1.04228,4.72944,0.87733,0.000441984,0.000441984,0.000441984
6,125.851,1.23475,3.84384,0.94197,0.00284,0.85333,0.04745,0.02239,1.12533,4.76573,0.88937,0.00052258,0.00052258,0.00052258
7,146.72,1.40823,3.31553,1.08519,0.00289,0.86667,0.0212,0.01606,1.06256,4.68271,0.88584,0.000599216,0.000599216,0.000599216
8,167.469,1.35068,3.8899,1.06941,0.00289,0.86667,0.02385,0.01804,0.97155,4.6962,0.85522,0.000671892,0.000671892,0.000671892
9,188.637,1.3473,3.09256,1.03579,0.00258,0.77333,0.01087,0.0051,1.06219,4.66091,0.88464,0.000740608,0.000740608,0.000740608
10,209.862,1.39011,3.32209,0.96927,0.00249,0.74667,0.0334,0.01734,1.06361,4.59715,0.90012,0.000805364,0.000805364,0.000805364
11,230.43,1.31852,2.80351,1.03642,0.00267,0.8,0.003,0.00178,1.02689,4.58886,0.8717,0.00086616,0.00086616,0.00086616
12,250.79,1.1857,2.68997,1.00954,0.00271,0.81333,0.00394,0.00262,1.02415,4.64039,0.87476,0.000922996,0.000922996,0.000922996
13,271.558,1.27868,2.72862,0.97879,0.0066,0.04,0.00491,0.00331,1.13761,4.65505,0.90137,0.000975872,0.000975872,0.000975872
14,292.435,1.35469,2.4436,1.02775,0.65999,0.12,0.15801,0.12738,1.09369,3.97795,0.93509,0.00102479,0.00102479,0.00102479
15,313.041,1.23061,2.4491,0.99065,0.77257,0.09333,0.1554,0.11382,1.06347,3.95128,0.90679,0.00106974,0.00106974,0.00106974
16,333.454,1.28323,2.35248,0.98688,0.36934,0.12,0.19563,0.13723,1.09466,3.79408,0.90822,0.00111074,0.00111074,0.00111074
17,353.883,1.19935,1.86558,0.95611,0.40651,0.33796,0.23869,0.16538,1.10615,3.39963,0.9195,0.00114778,0.00114778,0.00114778
18,374.428,1.29754,2.34941,0.9797,0.3123,0.16,0.19595,0.14769,0.98552,3.49416,0.89413,0.00118085,0.00118085,0.00118085
19,394.716,1.16656,2.3365,0.99255,0.71989,0.50667,0.65679,0.45928,1.04719,3.15816,0.9197,0.00120997,0.00120997,0.00120997
20,415.058,1.2245,2.04826,1.00409,0.85222,0.76898,0.85381,0.59578,1.07388,2.86721,0.94981,0.00123512,0.00123512,0.00123512
21,435.271,1.27366,2.2543,1.0184,0.7444,0.77667,0.81095,0.58672,1.05239,2.98462,0.92743,0.001208,0.001208,0.001208
22,455.459,1.10043,1.91457,0.97,0.82138,0.76,0.83755,0.60131,1.01855,3.10912,0.918,0.0011684,0.0011684,0.0011684
23,475.612,1.0942,1.9249,0.95318,0.91203,0.82945,0.88733,0.64461,0.9818,2.77855,0.91649,0.0011288,0.0011288,0.0011288
24,495.983,1.14588,2.21208,0.94559,0.96906,0.83531,0.918,0.65024,0.96933,2.52809,0.90759,0.0010892,0.0010892,0.0010892
25,516.068,1.01233,1.74334,0.88841,0.9577,0.90568,0.90278,0.63557,0.98951,2.25091,0.9221,0.0010496,0.0010496,0.0010496
26,536.245,1.10733,1.7237,0.96356,0.96907,0.92,0.93296,0.67219,0.9424,1.87213,0.9194,0.00101,0.00101,0.00101
