epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.56279,2.99016,7.85526,1.92856,0,0,0,0,2.2417,8.35656,1.28222,0,0,0
2,5.3474,3.07886,7.74275,1.85451,0.00033,0.1,0.0002,2e-05,2.2816,8.3355,1.29123,1.802e-05,1.802e-05,1.802e-05
3,8.10048,2.79235,7.00449,1.73788,0.001,0.3,0.00065,0.00026,2.34447,8.06104,1.33022,3.208e-05,3.208e-05,3.208e-05
4,10.7764,2.95363,7.89084,1.83873,0.001,0.3,0.00067,0.00034,2.40566,8.09793,1.36479,4.218e-05,4.218e-05,4.218e-05
5,13.4548,2.67224,6.29524,1.67594,0.001,0.3,0.00072,0.00036,2.28993,8.25343,1.33939,4.832e-05,4.832e-05,4.832e-05
6,16.1615,2.38616,6.08695,1.46915,0.00133,0.4,0.001,0.00044,2.07418,8.38723,1.29214,5.05e-05,5.05e-05,5.05e-05
7,18.8621,2.37964,6.47636,1.37747,0.00167,0.5,0.00142,0.00055,2.08967,8.21224,1.26308,4.872e-05,4.872e-05,4.872e-05
8,21.5656,2.11574,6.09941,1.31947,0.00167,0.5,0.00149,0.00059,2.03187,8.1473,1.19449,4.298e-05,4.298e-05,4.298e-05
9,24.2653,1.95881,6.25195,1.14835,0.002,0.6,0.00177,0.00078,1.94259,8.17832,1.14347,3.328e-05,3.328e-05,3.328e-05
10,26.9622,1.93366,5.68328,1.28156,0.002,0.6,0.00187,0.00083,1.85859,8.18241,1.1038,1.962e-05,1.962e-05,1.962e-05
