epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.0004,2.31999,6.40521,1.8545,0.00133,0.4,0.00111,0.00034,2.09207,5.45459,1.38159,0,0,0
2,9.08711,2.87694,7.41479,1.8605,0.00133,0.4,0.00107,0.00037,2.07337,5.4411,1.39257,1.802e-05,1.802e-05,1.802e-05
3,12.2709,2.56988,6.89559,1.49001,0.00133,0.4,0.00107,0.0004,2.01814,5.439,1.38129,3.208e-05,3.208e-05,3.208e-05
4,15.4308,2.46227,6.22925,1.54519,0.00167,0.5,0.00133,0.00052,1.90804,5.30173,1.33683,4.218e-05,4.218e-05,4.218e-05
5,18.53,1.84453,6.37886,1.39673,0.002,0.6,0.00187,0.00061,1.82542,5.17088,1.28881,4.832e-05,4.832e-05,4.832e-05
6,21.8202,1.95946,6.30325,1.33276,0.00233,0.7,0.00246,0.00069,1.78512,5.03331,1.25615,5.05e-05,5.05e-05,5.05e-05
7,24.925,1.78226,5.81622,1.20126,0.00233,0.7,0.00267,0.00084,1.72877,4.88265,1.2314,4.872e-05,4.872e-05,4.872e-05
8,27.9716,1.37377,5.18586,1.15322,0.003,0.9,0.00331,0.00108,1.66342,4.78813,1.19743,4.298e-05,4.298e-05,4.298e-05
9,31.0636,1.6267,6.02862,1.26857,0.003,0.9,0.00344,0.00108,1.60867,4.75288,1.17341,3.328e-05,3.328e-05,3.328e-05
10,34.197,1.56558,5.02315,1.37113,0.003,0.9,0.00354,0.00113,1.56523,4.72961,1.16087,1.962e-05,1.962e-05,1.962e-05
