epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.63171,2.4529,6.33691,1.83782,0.00067,0.2,0.00041,0.0001,2.40001,7.49224,1.52389,0,0,0
2,5.47198,2.78546,5.25165,1.76219,0.00067,0.2,0.00041,0.0001,2.36536,7.48405,1.5136,1.934e-05,1.934e-05,1.934e-05
3,8.31664,2.31085,5.31256,1.64037,0.00067,0.2,0.00042,0.0001,2.30215,7.46944,1.48336,3.736e-05,3.736e-05,3.736e-05
4,11.085,2.7833,5.47885,1.96884,0.00067,0.2,0.00042,0.0001,2.20471,7.25493,1.45851,5.406e-05,5.406e-05,5.406e-05
5,13.8247,1.87424,4.74254,1.43014,0.00067,0.2,0.00043,0.00024,2.04279,7.04436,1.41783,6.944e-05,6.944e-05,6.944e-05
6,16.6718,2.2611,4.74242,1.5958,0.00067,0.2,0.00043,0.00025,1.86894,6.85406,1.37096,8.35e-05,8.35e-05,8.35e-05
7,19.5124,1.45566,4.21949,1.20938,0.00067,0.2,0.00043,0.00025,1.74757,6.57561,1.34408,9.624e-05,9.624e-05,9.624e-05
8,22.2321,1.54154,4.39769,1.29327,0.00067,0.2,0.00044,0.00024,1.66374,6.44218,1.31006,0.00010766,0.00010766,0.00010766
9,24.973,1.23283,4.67511,1.11357,0.00167,0.5,0.00136,0.00037,1.59011,6.29865,1.27495,0.00011776,0.00011776,0.00011776
10,27.745,1.35892,3.77283,1.09999,0.00167,0.5,0.00148,0.00044,1.56832,6.08788,1.25438,0.00012654,0.00012654,0.00012654
11,30.5318,1.27288,3.4894,1.07317,0.002,0.6,0.00205,0.00061,1.62509,6.11434,1.23702,0.000134,0.000134,0.000134
12,33.418,1.12578,3.41375,1.00727,0.00267,0.8,0.00327,0.00095,1.66255,5.93732,1.23334,0.00014014,0.00014014,0.00014014
13,36.443,1.14683,3.09623,0.95728,0.00267,0.8,0.05053,0.0199,1.67453,5.95242,1.19512,0.00014496,0.00014496,0.00014496
14,39.4655,1.3134,3.16681,1.03343,0.00267,0.8,0.03467,0.01687,1.68754,5.82139,1.13717,0.00014846,0.00014846,0.00014846
15,42.5368,1.31907,2.91643,0.9385,0.003,0.9,0.05115,0.03457,1.48886,5.8504,1.02815,0.00015064,0.00015064,0.00015064
16,45.6466,1.11874,2.57257,0.97545,0.00267,0.8,0.09022,0.04315,1.30973,5.71054,0.95273,0.0001515,0.0001515,0.0001515
17,48.7508,1.11383,2.26091,0.93347,0.00267,0.8,0.14776,0.08723,1.25051,5.49648,0.90328,0.00015104,0.00015104,0.00015104
18,51.8024,0.95418,2.14948,0.90348,0.00267,0.8,0.14776,0.08723,1.25051,5.49648,0.90328,0.00014926,0.00014926,0.00014926
19,54.9175,1.03513,2.31782,1.04745,0.00267,0.8,0.17046,0.08,1.17047,5.25802,0.88104,0.00014616,0.00014616,0.00014616
20,57.9959,1.08712,2.30005,0.8905,0.00267,0.8,0.17046,0.08,1.17047,5.25802,0.88104,0.00014174,0.00014174,0.00014174
21,61.0628,0.90765,2.60287,0.85614,0.00267,0.8,0.1474,0.07557,1.15407,5.04816,0.87055,0.000136,0.000136,0.000136
22,63.8081,1.05161,3.31134,0.92377,0.00267,0.8,0.1474,0.07557,1.15407,5.04816,0.87055,0.00012894,0.00012894,0.00012894
23,66.5569,0.82487,3.16484,0.82022,0.00267,0.8,0.15218,0.07874,1.12897,4.98185,0.86331,0.00012056,0.00012056,0.00012056
24,69.2151,0.75842,2.41654,0.86627,0.00267,0.8,0.15218,0.07874,1.12897,4.98185,0.86331,0.00011086,0.00011086,0.00011086
25,71.918,0.69132,2.81562,0.79304,0.00233,0.7,0.13918,0.08594,1.13933,4.96763,0.8591,9.984e-05,9.984e-05,9.984e-05
26,74.6381,0.72015,2.73098,0.82876,0.00233,0.7,0.13918,0.08594,1.13933,4.96763,0.8591,8.75e-05,8.75e-05,8.75e-05
27,77.3611,0.84402,2.68949,0.93075,0.00233,0.7,0.12944,0.08185,1.12457,4.9283,0.85035,7.384e-05,7.384e-05,7.384e-05
28,80.0689,0.81762,2.58761,0.84907,0.00233,0.7,0.12944,0.08185,1.12457,4.9283,0.85035,5.886e-05,5.886e-05,5.886e-05
29,82.8164,0.77353,2.39607,0.87885,0.00233,0.7,0.11235,0.08119,1.10628,4.92086,0.84412,4.256e-05,4.256e-05,4.256e-05
30,85.526,0.67935,2.30149,0.83081,0.00233,0.7,0.11235,0.08119,1.10628,4.92086,0.84412,2.494e-05,2.494e-05,2.494e-05
