epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44027,2.76482,7.16284,1.56796,0.00033,0.1,0.00018,4e-05,2.27535,6.86728,1.16949,0,0,0
2,7.28827,2.89455,7.93886,1.63643,0.00067,0.2,0.00041,6e-05,2.26265,6.90045,1.15548,1.802e-05,1.802e-05,1.802e-05
3,10.4923,3.0621,7.67194,1.60573,0.00067,0.2,0.00043,0.00013,2.1703,6.86765,1.1323,3.208e-05,3.208e-05,3.208e-05
4,13.7339,2.62449,7.68837,1.4791,0.001,0.3,0.00076,0.00024,1.99311,6.67754,1.10123,4.218e-05,4.218e-05,4.218e-05
5,16.792,2.49239,6.9062,1.39907,0.00133,0.4,0.00108,0.00029,1.91757,6.51589,1.07319,4.832e-05,4.832e-05,4.832e-05
6,19.9209,2.06656,6.41178,1.23361,0.00167,0.5,0.00137,0.00043,1.99724,6.83774,1.07047,5.05e-05,5.05e-05,5.05e-05
7,23.0528,2.03596,7.77589,1.2598,0.00167,0.5,0.0015,0.00038,2.05226,7.08232,1.06992,4.872e-05,4.872e-05,4.872e-05
8,26.1448,1.74989,6.13431,1.16825,0.00167,0.5,0.00169,0.0005,1.96735,6.91483,1.04542,4.298e-05,4.298e-05,4.298e-05
9,29.2806,1.84183,6.49394,1.21251,0.002,0.6,0.00235,0.00067,1.94724,6.90793,1.04625,3.328e-05,3.328e-05,3.328e-05
10,32.4386,1.54073,5.54189,1.05586,0.002,0.6,0.00235,0.0008,1.92736,6.76264,1.03854,1.962e-05,1.962e-05,1.962e-05
