epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.85461,3.0954,8.65959,1.72233,0.00037,0.11111,0.00021,3e-05,2.33804,6.23154,1.2741,2e-05,2e-05,2e-05
2,13.0722,2.948,7.46371,1.91249,0.0013,0.38889,0.00106,0.00018,2.22345,6.22507,1.23264,5.406e-05,5.406e-05,5.406e-05
3,19.0527,2.47207,7.08812,1.40381,0.00167,0.5,0.00139,0.00049,2.12835,6.30267,1.1816,8.02e-05,8.02e-05,8.02e-05
4,24.9282,2.125,6.43821,1.14272,0.00204,0.61111,0.0023,0.00074,1.98612,6.3864,1.11567,9.842e-05,9.842e-05,9.842e-05
5,30.8809,1.48271,5.89919,1.02844,0.00222,0.66667,0.00312,0.00107,1.81179,6.42306,1.05664,0.00010872,0.00010872,0.00010872
6,36.8908,1.39392,5.3544,1.02021,0.00241,0.72222,0.00345,0.00125,1.92077,6.24722,1.05412,0.0001111,0.0001111,0.0001111
7,42.9045,1.30059,4.89465,1.04016,0.00241,0.72222,0.00364,0.00114,1.96774,6.0837,1.06493,0.00010556,0.00010556,0.00010556
8,48.833,1.34076,5.5546,0.84417,0.00241,0.72222,0.00377,0.00134,1.87293,6.00898,1.03199,9.21e-05,9.21e-05,9.21e-05
9,54.7485,1.35718,4.84503,1.0256,0.00241,0.72222,0.0038,0.00161,1.82107,6.06281,1.02257,7.072e-05,7.072e-05,7.072e-05
10,60.6763,1.52364,5.06826,0.9351,0.00241,0.72222,0.00381,0.00164,1.78255,5.95085,1.01221,4.142e-05,4.142e-05,4.142e-05
