epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.61383,2.96213,9.51234,1.72293,0.00067,0.2,0.00091,0.00056,1.28803,6.90192,1.3913,0,0,0
2,5.49369,2.74275,6.80173,1.74935,0.00067,0.2,0.00089,0.00055,1.24259,6.91125,1.38159,1.934e-05,1.934e-05,1.934e-05
3,8.35322,2.37548,6.6036,1.75383,0.00067,0.2,0.00094,0.00065,1.17044,6.57831,1.3655,3.736e-05,3.736e-05,3.736e-05
4,11.1476,2.67552,6.51971,2.11933,0.00067,0.2,0.00114,0.00081,1.10845,6.37293,1.33958,5.406e-05,5.406e-05,5.406e-05
5,13.9262,2.1979,6.51956,1.59088,0.001,0.3,0.00136,0.00084,1.04877,6.09682,1.31454,6.944e-05,6.944e-05,6.944e-05
6,16.6869,2.12081,5.21347,1.62481,0.00133,0.4,0.00138,0.00063,1.06182,6.03574,1.31499,8.35e-05,8.35e-05,8.35e-05
7,19.4363,1.16145,4.91196,1.14284,0.00133,0.4,0.00794,0.00124,1.10361,6.12033,1.31673,9.624e-05,9.624e-05,9.624e-05
8,22.2317,1.39965,5.20077,1.14018,0.00133,0.4,0.00964,0.00299,1.10908,6.31222,1.29049,0.00010766,0.00010766,0.00010766
9,24.9892,0.87236,5.73024,0.96566,0.00133,0.4,0.02189,0.00681,1.12865,6.23847,1.3086,0.00011776,0.00011776,0.00011776
10,27.7562,1.48716,4.75344,1.19601,0.00133,0.4,0.09744,0.02967,1.17926,6.14128,1.29112,0.00012654,0.00012654,0.00012654
11,30.525,1.45879,4.34306,1.08313,0.00133,0.4,0.03688,0.01099,1.21125,5.92712,1.30333,0.000134,0.000134,0.000134
12,33.3899,1.19847,4.06623,1.12195,0.00167,0.5,0.01416,0.00316,1.17665,6.00739,1.33276,0.00014014,0.00014014,0.00014014
13,36.1222,1.45906,3.87807,1.12257,0.00167,0.5,0.01299,0.00597,1.16872,5.99442,1.34769,0.00014496,0.00014496,0.00014496
14,38.8932,1.3771,5.90268,0.89532,0.00167,0.5,0.0086,0.0034,1.19593,6.03265,1.32949,0.00014846,0.00014846,0.00014846
15,41.6587,1.37944,3.97506,0.90569,0.00167,0.5,0.00525,0.0021,1.21395,5.93929,1.34983,0.00015064,0.00015064,0.00015064
16,44.4239,1.24915,2.79827,0.94573,0.00133,0.4,0.00401,0.00193,1.24521,5.91756,1.34292,0.0001515,0.0001515,0.0001515
17,47.1479,1.34755,3.29673,0.99395,0.00133,0.4,0.00472,0.00208,1.25881,5.94356,1.3164,0.00015104,0.00015104,0.00015104
18,49.8457,0.92306,2.24631,0.85362,0.00133,0.4,0.00472,0.00208,1.25881,5.94356,1.3164,0.00014926,0.00014926,0.00014926
19,52.5911,1.28388,3.40224,0.91197,0.00167,0.5,0.01747,0.00412,1.23052,5.89077,1.29048,0.00014616,0.00014616,0.00014616
20,55.341,1.15165,3.10556,0.98663,0.00167,0.5,0.01747,0.00412,1.23052,5.89077,1.29048,0.00014174,0.00014174,0.00014174
21,58.0971,1.12438,3.3083,0.84846,0.00167,0.5,0.01394,0.00562,1.19086,5.83757,1.2647,0.000136,0.000136,0.000136
22,60.8513,0.917,3.57483,0.88488,0.00167,0.5,0.01394,0.00562,1.19086,5.83757,1.2647,0.00012894,0.00012894,0.00012894
23,63.5764,1.06829,3.61451,0.91413,0.00167,0.5,0.0126,0.00514,1.15956,5.71719,1.25041,0.00012056,0.00012056,0.00012056
24,66.2927,0.79766,3.02205,0.88279,0.00167,0.5,0.0126,0.00514,1.15956,5.71719,1.25041,0.00011086,0.00011086,0.00011086
25,69.0241,1.00103,3.12132,0.88207,0.00167,0.5,0.00877,0.00437,1.12102,5.70602,1.24375,9.984e-05,9.984e-05,9.984e-05
26,71.7247,0.91771,2.76706,0.89278,0.00167,0.5,0.00877,0.00437,1.12102,5.70602,1.24375,8.75e-05,8.75e-05,8.75e-05
27,74.4541,0.66205,2.67417,0.81111,0.002,0.6,0.00671,0.0033,1.09836,5.58623,1.26929,7.384e-05,7.384e-05,7.384e-05
28,77.1402,0.88386,2.92263,0.89555,0.002,0.6,0.00671,0.0033,1.09836,5.58623,1.26929,5.886e-05,5.886e-05,5.886e-05
29,79.8808,0.84638,2.98377,0.95914,0.002,0.6,0.0069,0.00277,1.08975,5.63069,1.25714,4.256e-05,4.256e-05,4.256e-05
30,82.5838,1.00643,2.78869,0.83778,0.002,0.6,0.0069,0.00277,1.08975,5.63069,1.25714,2.494e-05,2.494e-05,2.494e-05
